annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREL46,Current Interest Rate Margin,current_interest_rate_margin,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/CurIntrstRateMrgn,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
RREL47,Interest Rate Reset Interval,interest_rate_reset_interval,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/AddtlCmonData/RstIntrvl,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
RREL48,Interest Rate Cap,interest_rate_cap,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/AddtlCmonData/Cap,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
RREL49,Interest Rate Floor,interest_rate_floor,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/AddtlCmonData/Flr,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
RREL5,New Obligor Identifier,new_obligor_identifier,Mandatory,no ND,in scope,True,True,False,OBL-000001,UndrlygXpsrId/NewOblgrIdr,OBL-000001,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL50,Revision Margin 1,revision_margin_1,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/FrstRvsnData/Mrgn,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL51,Interest Revision Date 1,interest_revision_date_1,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/FrstRvsnData/IntrstRvsnDt,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL52,Revision Margin 2,revision_margin_2,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/ScndRvsnData/Mrgn,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL53,Interest Revision Date 2,interest_revision_date_2,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/ScndRvsnData/IntrstRvsnDt,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL54,Revision Margin 3,revision_margin_3,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/ThrdRvsnData/Mrgn,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
