postcode_prefix,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name
BN88,TLJ21,Brighton and Hove,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
BN9,TLJ22,East Sussex CC,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
BN95,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
BN99,TLJ27,West Sussex (South West),TLJ2,"Surrey, East and West Sussex",TLJ,South East (England)
BR1,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR2,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR3,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR4,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR5,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR6,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR7,TLI61,Bromley,TLI6,Outer London - South,TLI,London
BR8,TLJ46,West Kent,TLJ4,Kent,TLJ,South East (England)
BS0,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS1,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS10,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS11,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS12,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS13,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS14,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS15,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS16,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS17,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS18,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS19,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS2,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS20,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS21,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS22,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS23,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS24,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS25,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS26,TLK62,Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS27,TLK62,Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS28,TLK62,Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS29,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
BS3,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
BS30,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS31,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS32,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS34,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS35,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS36,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
BS37,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
